Nombre,Posicion,Resistencia
Jugador 1,Portero,74
Jugador 2,Defensa,97
Jugador 3,Defensa,94
Jugador 4,Defensa,83
Jugador 5,Defensa,80
Jugador 6,Defensa,93
Jugador 7,Defensa,87
Jugador 8,Mediocampista,86
Jugador 9,Mediocampista,85
Jugador 10,Mediocampista,97
Jugador 11,Mediocampista,95
Jugador 12,Mediocampista,99
Jugador 13,Mediocampista,86
Jugador 14,Mediocampista,77
Jugador 15,Mediocampista,96
Jugador 16,Delantero,85
Jugador 17,Delantero,94
Jugador 18,Delantero,70
Jugador 19,Delantero,84
Jugador 20,Delantero,73
